%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1631907703874781405,32332,1631907703880288167,gps,0,0,39.81254975277261,-86.3415551893656,261.4754709331319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907703924827359,32333,1631907703930948242,gps,0,0,39.812545655259086,-86.341555053912,261.53645431250334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907703974898154,32334,1631907703979547190,gps,0,0,39.812541470877754,-86.34155487833375,261.54463492985815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907704049868237,32335,1631907704059899466,gps,0,0,39.812537311940176,-86.34155466417576,261.52268129307777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907704074897091,32336,1631907704080754782,gps,0,0,39.81253319859919,-86.34155459009739,261.5365633610636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907704124822086,32337,1631907704132936699,gps,0,0,39.812529085134685,-86.34155455374808,261.53166767489165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907704174813341,32338,1631907704181706655,gps,0,0,39.81252504426614,-86.34155446749823,261.55669772066176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907704224814431,32339,1631907704234465087,gps,0,0,39.81252091078992,-86.3415543581177,261.5156047837809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907704274839898,32340,1631907704280301260,gps,0,0,39.812516849880396,-86.34155443359626,261.52226634323597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907704324913825,32341,1631907704332066686,gps,0,0,39.812512848967245,-86.34155435164116,261.56323574017733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907704374856577,32342,1631907704380078623,gps,0,0,39.81250879400616,-86.34155427240374,261.5340629853308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907704424833719,32343,1631907704431497663,gps,0,0,39.81250477945251,-86.3415543213931,261.51529175322503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907704474839565,32344,1631907704480394570,gps,0,0,39.812500792529256,-86.34155432642304,261.5358971096575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907704524910451,32345,1631907704535848949,gps,0,0,39.81249675020658,-86.34155432451949,261.52410559076816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907704574858416,32346,1631907704580883917,gps,0,0,39.8124927119566,-86.34155425330921,261.5280053028837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907704624823396,32347,1631907704630124180,gps,0,0,39.8124886203504,-86.34155422794134,261.5123054208234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907704674916085,32348,1631907704680068759,gps,0,0,39.81248453088219,-86.34155420502772,261.51599272340536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907704724956843,32349,1631907704731030648,gps,0,0,39.812480458399904,-86.34155423127366,261.53191777318716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907704774862203,32350,1631907704780275402,gps,0,0,39.812476305247074,-86.34155418296616,261.5181091306731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907704824823525,32351,1631907704829156569,gps,0,0,39.81247224051379,-86.34155416099189,261.52619629725814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907704874844304,32352,1631907704879847413,gps,0,0,39.81246814689649,-86.34155416172705,261.51971937622875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907704924817348,32353,1631907704931090269,gps,0,0,39.81246408924433,-86.34155420728048,261.51403486635536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907704974835895,32354,1631907704979894070,gps,0,0,39.81246000485378,-86.34155422617444,261.5270108766854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907705049827889,32355,1631907705061407316,gps,0,0,39.81245587500425,-86.34155428321912,261.5133939590305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907705074814386,32356,1631907705086340713,gps,0,0,39.812451773271,-86.34155435997219,261.5066678263247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907705124848604,32357,1631907705132808895,gps,0,0,39.81244773355446,-86.34155438237427,261.5129159903154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907705174849678,32358,1631907705180543627,gps,0,0,39.812443597675596,-86.34155442450495,261.5070100380108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907705224843613,32359,1631907705231125745,gps,0,0,39.81243949829539,-86.3415544762483,261.50597796496004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907705274842586,32360,1631907705280795247,gps,0,0,39.81243536987062,-86.34155451401848,261.50660360604525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907705324877592,32361,1631907705330389748,gps,0,0,39.812431325259695,-86.34155459930618,261.51574601698667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907705374837858,32362,1631907705379361687,gps,0,0,39.812427246058625,-86.34155468573142,261.52313531097025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907705424915413,32363,1631907705430688085,gps,0,0,39.81242311046312,-86.34155477284102,261.51173483673483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907705474807219,32364,1631907705479626041,gps,0,0,39.81241898213525,-86.34155487272865,261.5083053279668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907705524824539,32365,1631907705536056830,gps,0,0,39.81241488812863,-86.34155497172112,261.5122835757211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907705574845610,32366,1631907705579909657,gps,0,0,39.81241079749799,-86.34155510274391,261.5147041697055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907705624822123,32367,1631907705630493453,gps,0,0,39.81240670184962,-86.34155519285717,261.51836589258164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907705649828610,32368,1631907705679635134,gps,0,0,39.81240258965747,-86.34155534402556,261.5131296198815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907705724862556,32369,1631907705730695950,gps,0,0,39.81239851941951,-86.34155549110119,261.51720662694424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907705774833507,32370,1631907705781708735,gps,0,0,39.812394438599476,-86.34155565203676,261.5097196502611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907705824804208,32371,1631907705829520222,gps,0,0,39.812390363581656,-86.34155578348808,261.52206001151353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907705874932107,32372,1631907705881886488,gps,0,0,39.81238625099122,-86.3415559202302,261.5256059318781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907705924811860,32373,1631907705930401736,gps,0,0,39.81238219624262,-86.34155605921762,261.5226927222684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907705974821980,32374,1631907705979021237,gps,0,0,39.81237814147719,-86.34155624157768,261.5173126682639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907706049819217,32375,1631907706061782634,gps,0,0,39.81237411565158,-86.34155635295257,261.52794123534113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907706074897461,32376,1631907706081570318,gps,0,0,39.81237004647908,-86.34155654948735,261.51687891222537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907706124915201,32377,1631907706130718779,gps,0,0,39.81236604231584,-86.34155666152054,261.52052473742515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907706199955672,32378,1631907706200120472,gps,0,0,39.81236201458447,-86.34155686624233,261.51382823940367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907706224857173,32379,1631907706231778694,gps,0,0,39.81235796310356,-86.34155710323144,261.52796487044543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907706274843486,32380,1631907706280340766,gps,0,0,39.81235379055161,-86.3415573472332,261.51498169079423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907706324854341,32381,1631907706330049909,gps,0,0,39.812349663383266,-86.34155755189073,261.51787401363254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907706374865161,32382,1631907706378852297,gps,0,0,39.81234550238026,-86.34155773255011,261.52783779241145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907706424861581,32383,1631907706430672062,gps,0,0,39.812341401174216,-86.34155798835108,261.5206572143361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907706474905702,32384,1631907706480750430,gps,0,0,39.812337230626014,-86.34155823990969,261.5065123103559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907706524928464,32385,1631907706535373424,gps,0,0,39.81233309863362,-86.34155849381145,261.50467667356133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907706574855229,32386,1631907706579908453,gps,0,0,39.81232898911884,-86.34155874012777,261.5097778411582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907706624843046,32387,1631907706630738396,gps,0,0,39.81232489052562,-86.3415589925293,261.5070150187239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907706674798372,32388,1631907706679633397,gps,0,0,39.81232083579108,-86.34155925612662,261.5161131992936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907706724846502,32389,1631907706730455138,gps,0,0,39.812316766482944,-86.34155951315151,261.5132858986035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907706774859726,32390,1631907706783421446,gps,0,0,39.81231268868091,-86.34155983373387,261.5097861783579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907706824852772,32391,1631907706830825344,gps,0,0,39.81230863996124,-86.34156004905344,261.5107067665085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907706874861551,32392,1631907706879601435,gps,0,0,39.812304566892095,-86.34156032171829,261.5190017307177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907706924941735,32393,1631907706930307563,gps,0,0,39.81230049243791,-86.34156047504248,261.51589829288423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907706974924442,32394,1631907706979409338,gps,0,0,39.81229643124962,-86.3415607021447,261.5116401836276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907707049846660,32395,1631907707061801427,gps,0,0,39.81229239942323,-86.34156093231087,261.5057894801721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907707074914957,32396,1631907707080462286,gps,0,0,39.812288367957045,-86.34156115044806,261.50336806848645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907707124862352,32397,1631907707131111414,gps,0,0,39.8122843059757,-86.34156134645801,261.50459827762097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907707174893269,32398,1631907707183495420,gps,0,0,39.812280278673626,-86.34156152776224,261.51351010333747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907707224868866,32399,1631907707232422049,gps,0,0,39.812276255441006,-86.34156171691927,261.5129300747067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907707274837188,32400,1631907707280063168,gps,0,0,39.81227226792157,-86.34156190380722,261.4961684271693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907707324851784,32401,1631907707331145084,gps,0,0,39.812268212319246,-86.34156210748013,261.49009324330837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907707374842262,32402,1631907707379673085,gps,0,0,39.812264122012145,-86.34156222852235,261.48990838136524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907707424862249,32403,1631907707429560578,gps,0,0,39.81226006358587,-86.34156240339597,261.4908451521769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907707474837690,32404,1631907707480778770,gps,0,0,39.81225595643672,-86.34156257180152,261.48141172342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907707524860983,32405,1631907707536031876,gps,0,0,39.81225185175716,-86.34156273904637,261.48959242366254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907707574845637,32406,1631907707579866837,gps,0,0,39.81224774218118,-86.34156292091481,261.4897824646905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907707624871804,32407,1631907707629880289,gps,0,0,39.812243657954554,-86.34156308275296,261.4826408093795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907707674869416,32408,1631907707680054595,gps,0,0,39.812239560179194,-86.34156322398326,261.4686468858272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907707724927767,32409,1631907707730570226,gps,0,0,39.812235455049915,-86.3415633861312,261.46824351418763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907707774895143,32410,1631907707780303438,gps,0,0,39.81223134666361,-86.34156352472574,261.45987935643643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907707824846826,32411,1631907707830760508,gps,0,0,39.8122272334858,-86.34156368095633,261.4582439204678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907707874861500,32412,1631907707880553390,gps,0,0,39.812223099092414,-86.34156382256569,261.45403813850135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907707924866078,32413,1631907707930340946,gps,0,0,39.81221904041531,-86.3415639478659,261.4474325031042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907707974826219,32414,1631907707979828399,gps,0,0,39.812214964682695,-86.34156406802211,261.44023863971233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907708049833377,32415,1631907708061982340,gps,0,0,39.812210850763336,-86.34156418267264,261.4380784779787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907708074952362,32416,1631907708082936405,gps,0,0,39.812206739699555,-86.3415643173931,261.4306329432875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907708124857221,32417,1631907708135472905,gps,0,0,39.81220261044438,-86.34156446256965,261.4238576358184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907708174858188,32418,1631907708186225563,gps,0,0,39.812198528634475,-86.34156454875752,261.4248730652034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907708224936992,32419,1631907708231948770,gps,0,0,39.81219442688892,-86.34156467561314,261.4246340226382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
